transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,profit,transaction_month,customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,age,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,default,owns_car,tenure,address,postcode,state,country,property_valuation
94,86,1,23/12/2017,FALSE,Approved,"OHM Cycles",Standard,medium,medium,235.63,$125.07,38482,$110.56,December,1,Laraine,Medendorp,Female,93,68,1953-10-12,"Executive Secretary",Health,"Mass Customer",N,""'",Yes,11,"060 Morning Avenue",2016,"New South Wales",Australia,10
2261,1,2,04/05/2017,TRUE,Approved,"Giant Bicycles",Standard,medium,medium,1403.5,$954.82,40784,$448.68,May,2,Eli,Bockman,Male,81,41,1980-12-16,"Administrative Officer","Financial Services","Mass Customer",N,<script>alert('hi')</script>,Yes,16,"6 Meadow Vale Court",2153,"New South Wales",Australia,10
2250,34,5,16/08/2017,FALSE,Approved,"Norco Bicycles",Road,high,large,774.53,$464.72,39526,$309.81,August,5,Sheila-kathryn,Calton,Female,56,45,1977-05-13,"Senior Editor",n/a,"Affluent Customer",N,NIL,Yes,8,"9 Oakridge Court",3216,VIC,Australia,9
902,0,6,21/05/2017,FALSE,Approved,"Trek Bicycles",Standard,high,medium,358.39,$215.03,33364,$143.36,May,6,Curr,Duckhouse,Male,35,55,1966-09-16,"Recruiting Manager",Retail,"High Net Worth",N,"ðµ ð ð ð",Yes,13,"4 Delaware Trail",2210,"New South Wales",Australia,9
2501,59,9,10/05/2017,FALSE,Approved,Solex,Standard,medium,large,1061.56,$733.58,42172,$327.98,May,9,Mala,Lind,Female,97,49,1973-03-10,"Business Systems Development Analyst",Argiculture,"Affluent Customer",N,0/0,Yes,8,"93405 Ludington Park",3044,VIC,Australia,8
434,67,15,10/03/2017,FALSE,Approved,"Norco Bicycles",Road,medium,medium,544.05,$376.84,38647,$167.21,March,15,Erroll,Radage,Male,91,21,2000-07-13,"Junior Executive",Manufacturing,"Mass Customer",N,ð,No,1,"82391 Kensington Lane",3058,VIC,Australia,9
1405,3,16,17/08/2017,FALSE,Approved,"Trek Bicycles",Standard,medium,large,2091.47,$388.92,37220,"$1,702.55",August,16,Harlin,Parr,Male,38,45,1977-02-27,"Media Manager IV",n/a,"Mass Customer",N,1.00E+96,Yes,18,"092 2nd Alley",2135,"New South Wales",Australia,12
1404,62,17,14/03/2017,FALSE,Approved,Solex,Standard,medium,medium,478.16,$298.72,33879,$179.44,March,17,Heath,Faraday,Male,57,60,1962-03-19,"Sales Associate",n/a,"Affluent Customer",N,ï¾ï½¥â¿ã¾â²(ï½¡ââ¿âï½¡)â±â¿ï½¥ï¾,Yes,15,"59 Spaight Circle",2233,"New South Wales",Australia,9
2932,37,21,17/08/2017,TRUE,Approved,"OHM Cycles",Standard,low,medium,1793.43,$248.82,36361,"$1,544.61",August,21,Mile,Cammocke,Male,74,41,1980-09-20,"Safety Technician I",Manufacturing,"Affluent Customer",N,-1.00E+02,Yes,16,"28 5th Center",4413,QLD,Australia,3
118,20,22,21/03/2017,FALSE,Approved,"Trek Bicycles",Standard,medium,small,1775.81,"$1,580.47",40303,$195.34,March,22,Deeanne,Durtnell,Female,79,59,1962-12-10,"Recruiting Manager",IT,"Mass Customer",N,ï¼ï¼ï¼,No,11,"52 Carey Alley",4740,QLD,Australia,5
1783,53,24,13/12/2017,FALSE,Approved,"OHM Cycles",Standard,medium,medium,795.34,$101.58,35707,$693.76,December,24,Kim,Skpsey,Female,55,44,1977-12-03,"Research Assistant I",Argiculture,"Mass Customer",N,../../../../../../../../../../../etc/hosts,Yes,15,"48 Eagan Avenue",4868,QLD,Australia,4
2354,53,25,04/03/2017,TRUE,Approved,"OHM Cycles",Standard,medium,medium,795.34,$101.58,42172,$693.76,March,25,Geoff,Assaf,Male,72,45,1976-12-02,"Accounting Assistant III","Financial Services","Mass Customer",N,"×Ö¸×Ö°×ªÖ¸×testØ§ÙØµÙØ­Ø§Øª Ø§ÙØªÙØ­ÙÙ",Yes,21,"9 Buell Park",4116,QLD,Australia,7
849,57,27,18/07/2017,TRUE,Approved,WeareA2B,Touring,medium,large,1890.39,$260.14,42145,"$1,630.25",July,27,Garvin,Klees,Male,37,43,1978-09-25,"Research Nurse",Health,"Mass Customer",N,"''''"",Yes,12,"2294 Pleasure Place",2135,"New South Wales",Australia,12
661,87,29,16/09/2017,FALSE,Approved,"Giant Bicycles",Standard,high,medium,1179,$707.40,35667,$471.60,September,29,Mona,Sancraft,Female,62,54,1968-06-22,"Safety Technician III",Manufacturing,"Mass Customer",N,"() { 0; }; touch /tmp/blns.shellshock1.fail;",No,19,"63 Lukken Drive",2170,"New South Wales",Australia,9
1739,3,30,16/06/2017,FALSE,Approved,"Trek Bicycles",Standard,medium,large,2091.47,$388.92,40784,"$1,702.55",June,30,Darrick,Helleckas,Male,18,60,1961-10-18,"Recruiting Manager",IT,"Affluent Customer",N,"ì¬íê³¼íì ì´íì°êµ¬ì",Yes,6,"833 Luster Way",4005,QLD,Australia,8
420,97,31,25/05/2017,TRUE,Approved,"OHM Cycles",Road,medium,medium,742.54,$667.40,41701,$75.14,May,31,Star,Praton,Female,3,59,1962-11-24,"Staff Accountant III",Telecommunications,"High Net Worth",N,testâ testâ«,Yes,14,"34 Russell Plaza",4127,QLD,Australia,6
99,95,32,26/03/2017,FALSE,Approved,"Giant Bicycles",Standard,medium,large,569.56,$528.43,37874,$41.13,March,32,Marion,Vanichkin,Female,17,27,1995-04-20,"Legal Assistant",Manufacturing,"Affluent Customer",N,"0ï¸â£ 1ï¸â£ 2ï¸â£ 3ï¸â£ 4ï¸â£ 5ï¸â£ 6ï¸â£ 7ï¸â£ 8ï¸â£ 9ï¸â£ ð",No,4,"78 Del Sol Hill",2535,"New South Wales",Australia,8
1039,8,34,01/07/2017,TRUE,Approved,Solex,Road,medium,small,1703.52,"$1,516.13",40649,$187.39,July,34,Jephthah,Bachmann,Male,59,65,1957-06-25,"Legal Assistant",IT,"Affluent Customer",N,,No,20,"90 Lawn Parkway",4805,QLD,Australia,4
1418,22,36,08/04/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,60.34,$45.26,34165,$15.08,April,36,Lurette,Stonnell,Female,33,44,1977-11-09,"VP Quality Control",n/a,"Affluent Customer",N,"<>?:"{}|_+",No,22,"3496 Brown Drive",2207,"New South Wales",Australia,8
