customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,age,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,default,owns_car,tenure,address,postcode,state,country,property_valuation
1,Laraine,Medendorp,Female,93,68,1953-10-12,Executive Secretary,Health,Mass Customer,N,"""'",Yes,11,060 Morning Avenue,2016,New South Wales,Australia,10
2,Eli,Bockman,Male,81,41,1980-12-16,Administrative Officer,Financial Services,Mass Customer,N,<script>alert('hi')</script>,Yes,16,6 Meadow Vale Court,2153,New South Wales,Australia,10
3,Arlin,Dearle,Male,61,68,1954-01-20,Recruiting Manager,Property,Mass Customer,N,01-Feb,Yes,15,0 Holy Cross Court,4211,QLD,Australia,9
4,Talbot,,Male,33,60,1961-10-03,Recruiting Manager,IT,Mass Customer,N,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },No,7,17979 Del Mar Point,2448,New South Wales,Australia,4
5,Sheila-kathryn,Calton,Female,56,45,1977-05-13,Senior Editor,n/a,Affluent Customer,N,NIL,Yes,8,9 Oakridge Court,3216,VIC,Australia,9
6,Curr,Duckhouse,Male,35,55,1966-09-16,Recruiting Manager,Retail,High Net Worth,N,ğµ ğ ğ ğ,Yes,13,4 Delaware Trail,2210,New South Wales,Australia,9
7,Fina,Merali,Female,6,46,1976-02-23,Recruiting Manager,Financial Services,Affluent Customer,N,â°â´âµâââ,Yes,11,49 Londonderry Lane,2650,New South Wales,Australia,4
8,Rod,Inder,Male,31,60,1962-03-30,Media Manager I,n/a,Mass Customer,N,(â¯Â°â¡Â°ï¼â¯ï¸µ â»ââ»),No,7,97736 7th Trail,2023,New South Wales,Australia,12
9,Mala,Lind,Female,97,49,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,N,0/0,Yes,8,93405 Ludington Park,3044,VIC,Australia,8
10,Fiorenze,Birdall,Female,49,33,1988-10-11,Senior Quality Engineer,Financial Services,Mass Customer,N,ğ©ğ½,Yes,20,44339 Golden Leaf Alley,4557,QLD,Australia,4
11,Uriah,Bisatt,Male,99,68,1954-04-30,Recruiting Manager,Property,Mass Customer,N,ÅâÂ´Â®â Â¥Â¨ËÃ¸Ïââ,No,9,2 Sutherland Street,3799,VIC,Australia,6
12,Sawyere,Flattman,Male,58,27,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,N,nil,No,8,9 Mcbride Trail,2760,New South Wales,Australia,8
13,Gabriele,Norcross,Male,38,67,1955-02-15,Developer I,Financial Services,High Net Worth,N,-1.00E+02,Yes,8,9861 New Castle Avenue,2428,New South Wales,Australia,9
14,Rayshell,Kitteman,Female,85,39,1983-03-25,Account Executive,Financial Services,Affluent Customer,N,â°â´âµ,No,6,52 Moland Street,3331,VIC,Australia,4
15,Erroll,Radage,Male,91,21,2000-07-13,Junior Executive,Manufacturing,Mass Customer,N,ğ,No,1,82391 Kensington Lane,3058,VIC,Australia,9
16,Harlin,Parr,Male,38,45,1977-02-27,Media Manager IV,n/a,Mass Customer,N,1.00E+96,Yes,18,092 2nd Alley,2135,New South Wales,Australia,12
17,Heath,Faraday,Male,57,60,1962-03-19,Sales Associate,n/a,Affluent Customer,N,ï¾ï½¥â¿ã¾â²(ï½¡ââ¿âï½¡)â±â¿ï½¥ï¾,Yes,15,59 Spaight Circle,2233,New South Wales,Australia,9
18,Marjie,Neasham,Female,79,54,1967-07-06,Professor,n/a,Affluent Customer,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,No,11,032 Bartelt Crossing,2444,New South Wales,Australia,8
19,Sorcha,Keyson,Female,76,21,2001-04-15,Geological Engineer,Manufacturing,High Net Worth,N,ÅâÂ´â°ËÃÂ¨ËÃâââ,No,1,18 Jenna Center,2650,New South Wales,Australia,7
20,Basile,Firth,Male,72,41,1980-08-13,Project Manager,Manufacturing,Mass Customer,N,ğ©ğ½,No,11,3 Cordelia Plaza,2153,New South Wales,Australia,10
21,Mile,Cammocke,Male,74,41,1980-09-20,Safety Technician I,Manufacturing,Affluent Customer,N,-1.00E+02,Yes,16,28 5th Center,4413,QLD,Australia,3
22,Deeanne,Durtnell,Female,79,59,1962-12-10,Recruiting Manager,IT,Mass Customer,N,ï¼ï¼ï¼,No,11,52 Carey Alley,4740,QLD,Australia,5
23,Olav,Polak,Male,43,27,1995-02-10,Recruiting Manager,n/a,High Net Worth,N,01-Feb,Yes,1,96 Texas Plaza,3218,VIC,Australia,7
24,Kim,Skpsey,Female,55,44,1977-12-03,Research Assistant I,Argiculture,Mass Customer,N,../../../../../../../../../../../etc/hosts,Yes,15,48 Eagan Avenue,4868,QLD,Australia,4
25,Geoff,Assaf,Male,72,45,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,N,×Ö¸×Ö°×ªÖ¸×testØ§ÙØµÙØ­Ø§Øª Ø§ÙØªÙØ­ÙÙ,Yes,21,9 Buell Park,4116,QLD,Australia,7
26,Trixi,Ginnelly,Female,12,44,1978-06-10,Editor,Financial Services,Mass Customer,N,"<>?:""{}|_+",Yes,16,02663 Buell Parkway,2519,New South Wales,Australia,11
27,Garvin,Klees,Male,37,43,1978-09-25,Research Nurse,Health,Mass Customer,N,"''''""",Yes,12,2294 Pleasure Place,2135,New South Wales,Australia,12
28,Fee,Zellmer,Male,5,48,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,N,",./;'[]\-=",Yes,21,2951 Petterle Place,2756,New South Wales,Australia,9
29,Mona,Sancraft,Female,62,54,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,No,19,63 Lukken Drive,2170,New South Wales,Australia,9
30,Darrick,Helleckas,Male,18,60,1961-10-18,Recruiting Manager,IT,Affluent Customer,N,ì¬íê³¼íì ì´íì°êµ¬ì,Yes,6,833 Luster Way,4005,QLD,Australia,8
31,Star,Praton,Female,3,59,1962-11-24,Staff Accountant III,Telecommunications,High Net Worth,N,testâ testâ«,Yes,14,34 Russell Plaza,4127,QLD,Australia,6
32,Marion,Vanichkin,Female,17,27,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,N,0ï¸â£ 1ï¸â£ 2ï¸â£ 3ï¸â£ 4ï¸â£ 5ï¸â£ 6ï¸â£ 7ï¸â£ 8ï¸â£ 9ï¸â£ ğ,No,4,78 Del Sol Hill,2535,New South Wales,Australia,8
33,Ernst,Hacon,Male,44,65,1957-06-25,Product Engineer,n/a,Affluent Customer,N,<script>alert('hi')</script>,Yes,11,54 Sage Plaza,4726,QLD,Australia,1
34,Jephthah,Bachmann,Male,59,65,1957-06-25,Legal Assistant,IT,Affluent Customer,N,,No,20,90 Lawn Parkway,4805,QLD,Australia,4
